tns_name,dm,dm_err,ra,ra_err,dec,dec_err,fluence,fluence_err,flux,flux_err,exp_up,exp_up_err,exp_low,exp_low_err,notes
FRB20190626A,191.16,0.53,65.701,36,73.669,36,-9999,-9999,-9999,-9999,64.02,0.43,47.09,0.34,"Event of the repeating source FRB20180814A. The absolute meridian angle is >2 deg, where the primary beam is unmodeled; flux and fluence are not calculated. "
FRB20190627A,404.257,0.099,196.028,65,0.980,148,26,19,31.9,3.7,15.7,0.0,0.0,0.0,-9999
FRB20190627C,968.497,0.014,267.7766,25,71.6293,15,13.2,1.9,6.25,0.64,55.21,0.54,35.32,0.59,-9999
FRB20190627D,2000.308,0.032,295.431,104,43.856,90,8.6,2.2,0.61,0.16,24.37,0.49,0.0,0.0,-9999
FRB20190628A,745.7895,0.0079,199.164,40,51.696,40,2.2,1.2,2.16,0.25,27.28,0.65,0.0,0.0,-9999
FRB20190628B,407.987,0.022,249.194,43,80.093,47,7.2,2.6,3.97,0.47,7.9,6.3,80.0,3.4,-9999
FRB20190628C,1746.79,0.27,11.453,101,48.591,97,14.9,2.2,0.89,0.18,7.7,6.5,0.0,0.0,"The correct lobe of the formed beam is uncertain, RA could be shifted by up to +-3/cos(Dec) deg. "
FRB20190629A,503.541,0.031,4.877,47,12.501,50,23.7,4.3,6.82,0.80,9.3,1.9,0.0,0.0,-9999
FRB20190630B,651.71,0.32,328.3149,13,42.9525,13,62.6,6.5,3.62,0.37,22.34,0.39,0.0,0.0,-9999
FRB20190630C,1660.207,0.012,67.3687,22,80.9195,30,14.7,3.3,8.61,0.88,10.0,4.0,80.5,3.2,-9999
FRB20190630D,323.5402,0.0025,143.4744,19,8.8140,25,8.0,2.3,5.72,0.61,16.38,0.27,0.0,0.0,-9999
FRB20190701A,637.0911,0.0085,277.242,43,59.029,58,1.9,1.2,2.30,0.26,35.39,0.34,0.0,0.0,-9999
FRB20190701B,749.0932,0.0078,302.1952,20,80.0913,24,8.5,2.8,7.15,0.76,86.5,4.4,97.14,0.95,-9999
FRB20190701C,973.794,0.014,83.7980,35,81.594,43,20.9,8.9,14.6,1.7,124.78,0.67,58,10,-9999
FRB20190701D,933.319,0.027,111.7658,16,66.7667,17,19.8,2.2,3.08,0.32,39.3,1.0,0.0,0.0,-9999
