tns_name,previous_name,repeater_name,ra,ra_err,ra_notes,dec,dec_err,dec_notes,gl,gb,exp_up,exp_up_err,exp_up_notes,exp_low,exp_low_err,exp_low_notes,bonsai_snr,bonsai_dm,low_ft_68,up_ft_68,low_ft_95,up_ft_95,snr_fitb,dm_fitb,dm_fitb_err,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,scat_time_err,flux,flux_err,flux_notes,fluence,fluence_err,fluence_notes,sub_num,mjd_400,mjd_400_err,mjd_inf,mjd_inf_err,width_fitb,width_fitb_err,sp_idx,sp_idx_err,sp_run,sp_run_err,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,excluded_flag
FRB20181014A,-9999,-9999,46.01,0.22,-9999,63.33,0.2,-9999,137.18,4.19,27.0,15.0,-9999,-9999.0,-9999.0,-9999,18.2,1311.8,0.0,1.5,0.0,2.9,20.6,1314.8896,0.0079,1128.2,1014.9,0.0059,<0.0023,-9999.0,0.99,0.61,-9999,2.7,1.5,-9999,0,58405.4026407793,5.3e-09,58405.4022464905,5.8e-09,0.00205,0.00014,3.7,2.7,0.5,2.6,800.2,456.0,800.2,258344.244,256698,0.44,0
FRB20181014B,-9999,-9999,78.56,0.11,-9999,14.66,0.2,-9999,188.17,-13.82,14.1,5.7,-9999,-9999.0,-9999.0,-9999,20.9,888.0,0.0,1.2,0.0,2.3,26.2,887.972,0.0069,785.4,737.4,0.00393,0.00110,0.00017,0.65,0.25,-9999,1.88,0.59,-9999,0,58405.4899485186,4.5e-09,58405.4896822472,4.9e-09,0.00073,0.00011,3.6,1.1,-9.0,1.7,800.2,400.2,487.5,304365.112,302169,0.515,0
FRB20181014D,-9999,-9999,216.04,0.21,-9999,-2.93,0.35,-9999,343.2,52.54,11.3,6.9,-9999,-9999.0,-9999.0,-9999,13.6,376.9,0.0,19.6,0.0,39.6,13.9,377.132,0.011,347.1,350.6,0.00197,<0.0021,-9999.0,8.4,5.5,-9999,18.0,11.0,-9999,0,58405.8683847314,8.2e-09,58405.8682716428,8.9e-09,0.00172,0.00017,0.4,2.1,-0.5,2.5,800.2,400.2,624.3,292258.322,291226,0.532,0
FRB20181017B,-9999,-9999,237.76,0.23,-9999,78.5,0.25,-9999,113.05,34.93,58.0,33.0,-9999,60.0,29.0,-9999,12.6,304.1,32.8,8.5,63.1,16.7,18.6,307.369,0.034,263.7,269.9,0.01278,0.0043,0.0013,1.06,0.73,-9999,6.5,3.6,-9999,0,58408.929795329,1.1e-08,58408.92970316,1.5e-08,0.00231,0.00045,61.0,10.0,-77.0,12.0,704.8,499.3,593.2,622489.733,725945,0.417,0
FRB20181018B,-9999,-9999,336.82,0.16,-9999,71.91,0.17,-9999,112.16,12.12,45.0,17.0,-9999,27.0,16.0,-9999,35.6,292.8,58.1,6.4,129.7,14.2,51.3,293.867,0.00093,180.7,139.6,0.00098,<0.00050,-9999.0,5.1,3.5,-9999,7.9,5.2,-9999,0,58409.1941131379,3.2e-09,58409.1940250176,3.2e-09,0.000478,1.3e-05,7.3,0.6,-10.45,0.81,800.2,400.2,567.4,190120.496,183306,0.411,0
FRB20181018C,-9999,-9999,67.15,0.17,-9999,37.57,0.17,-9999,163.43,-7.68,18.4,5.8,-9999,-9999.0,-9999.0,-9999,29.4,409.2,0.0,1.1,0.0,1.9,41.7,411.1927,0.0023,265.0,220.7,0.00098,<0.00051,-9999.0,2.4,1.0,-9999,3.3,1.4,-9999,0,58409.4464391101,4e-09,58409.446315808,4.1e-09,0.000477,1.6e-05,-0.61,0.61,-7.6,1.4,668.2,400.2,400.2,195306.024,193642,0.378,0
FRB20181022C,-9999,-9999,141.56,0.21,-9999,83.81,0.3,-9999,128.56,30.89,105.0,57.0,-9999,110.0,54.0,-9999,15.0,528.9,2.0,0.9,4.1,2.0,14.2,528.473,0.016,478.6,483.8,0.00393,0.00068,0.00018,0.91,0.87,-9999,3.2,2.2,-9999,0,58413.144455733,1.6e-08,58413.144297262,1.6e-08,0.00080,0.00019,2.9,2.2,-14.2,4.2,664.2,400.2,443.9,337840.384,338041,0.457,0
FRB20181022D,-9999,-9999,179.18,0.16,-9999,36.53,0.16,-9999,170.49,75.08,17.4,6.3,-9999,-9999.0,-9999.0,-9999,35.6,512.7,0.0,4.4,0.0,9.1,52.1,514.33426,0.00093,494.2,496.7,0.00197,<0.00063,-9999.0,2.9,1.3,-9999,6.2,2.8,-9999,0,58413.7456487863,4.5e-09,58413.7454945557,4.5e-09,0.000594,1.6e-05,18.2,2.3,-14.4,2.1,800.2,505.7,754.7,398191.143,393370,0.368,0
FRB20181022E,-9999,-9999,221.18,0.21,-9999,27.13,0.22,-9999,39.5,64.85,13.3,7.7,-9999,-9999.0,-9999.0,-9999,15.5,286.3,0.0,1.8,0.0,3.3,18.8,285.986,0.014,264.2,263.9,0.00295,0.000632,9.2e-05,0.69,0.35,-9999,2.08,0.84,-9999,0,58413.859347892,1.2e-08,58413.859262135,1.3e-08,0.00040,0.00015,8.7,2.7,-42.3,9.4,560.3,400.2,443.7,401097.555,400057,0.357,0
FRB20181025A,-9999,-9999,105.78,0.2,-9999,64.25,0.2,-9999,151.66,25.49,28.0,15.0,-9999,-9999.0,-9999.0,-9999,18.8,590.4,0.0,1.3,0.0,2.4,20.8,592.5644,0.0044,530.9,529.5,0.00197,0.000257,4.2e-05,1.52,0.58,-9999,2.68,0.99,-9999,0,58416.535717286,1.3e-08,58416.535539597,1.3e-08,0.000355,8.1e-05,-3.15,0.95,-0.1,1.6,800.2,400.2,400.2,374899.121,373913,0.399,0
FRB20181027A,-9999,-9999,131.9,0.22,-9999,-4.24,0.34,-9999,231.12,23.4,11.6,7.1,-9999,-9999.0,-9999.0,-9999,15.9,726.3,0.0,7.3,0.0,15.2,22.3,727.744,0.0064,663.7,670.0,0.0059,0.00472,0.00075,4.9,3.5,-9999,22.0,15.0,-9999,0,58418.598616986,1.4e-08,58418.598398762,1.4e-08,0.00072,0.00014,-0.4,6.9,6.1,6.0,800.2,530.0,800.2,406922.127,405833,0.565,0
FRB20181030D,-9999,-9999,81.79,0.18,-9999,16.07,0.21,-9999,188.68,-10.44,13.8,6.1,-9999,-9999.0,-9999.0,-9999,21.5,289.5,0.0,4.2,0.0,7.3,29.2,289.4422,0.003,165.9,103.1,0.00295,0.00087,0.00012,2.74,0.9,-9999,5.9,1.9,-9999,0,58421.452842536,1.2e-08,58421.452755742,1.2e-08,0.000362,6.1e-05,1.51,0.93,-3.0,1.1,800.2,400.2,514.8,342675.375,342297,0.45,0
FRB20181030E,-9999,-9999,135.67,0.012,-9999,8.89,0.19,-9999,220.25,33.16,14.1,4.9,-9999,-9999.0,-9999.0,-9999,24.3,158.5,0.0,5.5,0.0,11.3,37.7,159.6902,0.0041,109.8,113.7,0.0059,0.000973,6.9e-05,2.0,1.5,-9999,6.3,3.9,-9999,0,58421.6014,0.0082,58421.6013,0.0082,<0.00040,-9999.0,22.3,1.8,-69.0,4.9,564.8,400.2,470.5,334358.342,332569,0.466,0
